SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539113,PML         ,X ,Q,4700.00,4700.00,4261.00,4382.50,4380.00,4471.65,53,120,536309.00,
539115,ALAN SCOTT  ,XT,Q,13.12,13.12,13.12,13.12,13.12,12.50,2,1050,13776.00,
539118,VRLLOG      ,B ,Q,435.15,444.90,429.95,437.75,437.75,436.50,654,11545,5048095.00,
539120,BFFL        ,XT,Q,19.05,19.05,17.30,18.90,18.90,18.19,9,2304,43752.00,
539122,BODHTREE    ,X ,Q,95.50,95.50,87.30,89.95,89.00,91.50,182,23656,2139441.00,
539123,VBIND       ,X ,Q,111.05,113.00,110.75,110.80,110.75,113.00,106,45605,5088961.00,
539125,LAYLA       ,XT,Q,3.19,3.19,3.19,3.19,3.19,3.25,9,7812,24920.00,
539126,MEP         ,B ,Q,88.10,93.85,85.00,86.05,85.00,88.85,1558,222785,19801344.00,
539131,CLLIMITED   ,X ,Q,63.00,71.00,61.10,67.85,67.85,64.55,41,6657,441316.00,
539132,VEGETABLE   ,X ,Q,3.80,4.07,3.33,3.90,3.90,3.70,37,35982,135613.00,
539141,UFO         ,B ,Q,450.00,463.45,447.15,456.10,456.75,460.70,142,1765,801604.00,
539143,SBCL        ,X ,Q,64.20,64.75,64.00,64.25,64.00,64.65,30,11495,739760.00,
539148,SHIVALIK    ,XT,Q,744.35,760.00,710.00,742.35,760.00,744.55,40,2206,1610090.00,
539149,ICSL        ,XT,Q,4.67,4.90,4.66,4.66,4.66,4.90,17,5222,24367.00,
539150,PNCINFRA    ,B ,Q,181.45,187.95,181.00,182.70,182.70,181.60,605,36766,6737992.00,
539151,ARFIN       ,X ,Q,559.95,559.95,510.00,514.20,510.00,511.50,85,1848,961130.00,
539169,FUNNY       ,B ,Q,9.25,9.39,9.25,9.39,9.39,9.21,2590,2279834,21299391.00,
539175,INDRAIND    ,X ,Q,30.50,31.50,28.60,31.50,31.50,30.00,38,5325,162406.00,
539176,HAWAENG     ,XT,Q,77.80,77.80,70.40,77.80,77.80,74.10,26,4950,371521.00,
539177,AIIL        ,X ,Q,69.85,69.85,62.55,64.00,64.00,69.40,22,50560,3260594.00,
539195,POEL        ,X ,Q,79.90,79.90,75.30,79.00,79.00,77.70,45,4190,324384.00,
539196,AEL         ,X ,Q,41.90,42.90,39.00,41.00,41.00,40.95,117,6101,250019.00,
539207,MANPASAND   ,B ,Q,384.50,399.00,379.80,386.95,386.95,377.50,1762,42060,16317550.00,
539219,MUL         ,XT,Q,162.15,173.95,162.15,173.95,173.95,170.45,2,220,35909.00,
539220,MISHKA      ,B ,Q,25.00,25.00,25.00,25.00,25.00,25.00,3,500,12500.00,
539223,AMBITION    ,M ,Q,45.00,45.00,42.60,43.00,43.00,42.70,4,12000,519900.00,
539225,JIYAECO     ,M ,Q,95.50,95.50,91.80,92.15,92.00,96.50,8,28800,2677860.00,
539226,RUDRA       ,B ,Q,215.00,218.00,215.00,218.00,218.00,216.60,6,4204,910172.00,
539227,LOYAL       ,M ,Q,64.40,64.40,62.00,62.00,62.00,64.00,6,18000,1150650.00,
539228,GGPL        ,B ,Q,198.50,198.55,194.05,195.45,195.95,198.05,364,81231,15902370.00,
